PAA,SAX,MCB
0.006018015391800127,b,a
0.003840983103300069,b,b
0.004564199083999891,a,b
0.0029828089204666708,c,c
-0.002668233190833443,a,a
-0.0023154295912667525,b,c
-0.002540038986366782,c,b
-0.0024094135706001444,a,a
-0.0023538919210334503,a,a
-0.002374002994500105,a,b
-0.0024150389738334436,a,c
-0.00242410261963348,a,a
-0.0022758786968667673,b,b
-0.0023623961126667575,b,b
-0.0024482014099001543,b,c
-0.0023414304670668225,b,b
-0.0023960366091334896,a,a
-0.002450266298300144,c,b
-0.00238094054706682,a,a
-0.0012113649364667042,b,a
-0.003222961720933401,c,b
-0.0033027242683333806,a,b
-0.0029921773427667793,a,a
-0.003212229572966562,a,a
-0.002982015035666815,a,c
-0.0029801534628000207,a,c
-0.002989644443300127,b,b
-0.0029679973059334583,b,c
-0.002946248396100139,b,c
-0.0029093729878001164,b,c
-0.0028703410017334864,a,a
-0.002867736831766773,c,b
-0.0029188029294001158,a,a
-0.002916330974700124,b,b
-0.0027945352663001216,c,b
0.00361359728063326,a,a
0.003206950223700051,a,a
0.0036009324726333117,a,c
0.003453532221433304,a,b
0.0033351951854333887,a,a
0.003556366175100004,b,b
0.003957703509399921,b,b
0.0030651758988332924,b,b
0.0032184351085333793,b,b
0.0036273094978000048,a,c
0.0034233404561999302,c,c
0.0035573427512000087,a,a
0.0033582155607666773,b,b
0.0036324872432334215,c,b
0.0035197351276666424,a,c
-0.0023692629376333998,a,a
-0.002582987522166796,a,b
-0.0025072529429668523,a,b
-0.002440429582866768,a,b
-0.002472422219600087,b,b
-0.00252322387043346,b,b
-0.0025616047140668515,b,b
-0.0025888874355002116,b,c
-0.002524241080166742,a,b
-0.002427093385333519,c,a
-0.0024440305742001642,a,b
-0.0025058795891334928,b,c
-0.002497304151666797,c,a
-0.002542846594266841,a,c
-0.002556498085333536,a,b
0.0031549479654999365,a,a
0.0034923507560999266,a,c
0.0033099164615667293,a,b
0.0033106183974667,b,b
0.003377889238800029,b,a
0.0033604940369000324,b,b
0.0033793336477666515,b,a
0.003168996206366695,a,b
0.0033520916115666543,c,c
0.003460876624300071,a,a
0.0032395427458333926,b,a
0.0035092877836666522,c,a
0.003386912294000002,a,a
0.003428894267999967,a,c
0.003403910507099984,a,a
0.0012193400332000126,a,b
0.0010043948468666723,a,b
0.0015405378920333597,b,c
-0.00016085800659998753,b,b
0.0019672040074667466,b,c
0.0011680093652333488,b,c
0.00051087439413334,a,a
0.00084482828996667,c,c
0.0014474287123000316,a,c
0.0019936829933667366,b,a
0.0004496053879000022,c,a
0.001779734386633384,a,c
0.0012215373138666841,a,c
0.001273071431166698,a,b
0.0008091836621666797,a,b
0.0010814819925999979,a,c
-0.002583770856066827,b,b
-0.002623351960566833,b,b
-0.002616271891033539,b,a
-0.002562225175867011,b,b
-0.002483917019533582,a,a
-0.002432688147366953,c,a
-0.002489766213466871,a,b
-0.002491078517533593,b,b
-0.002481628188166992,c,a
-0.0024641110861002777,a,b
-0.0024701332436002474,a,b
-0.002546264449633623,a,a
-0.002503865358500263,a,b
-0.002485025809333611,a,a
-0.0025212501993336143,b,b
-0.0021967469375667502,b,c
-0.002336364720333427,b,a
-0.0022636107818001005,b,c
-0.0022848205564334548,a,a
-0.002296010288100107,c,c
-0.0022389220789000796,a,a
-0.002272104861100127,b,c
-0.002302012130100077,c,c
-0.002222798636566764,a,a
-0.002273295049066769,a,a
-0.0022636515413000857,a,b
-0.0022223002271000965,a,a
-0.0021898091560334327,a,c
-0.0021773885089667283,b,c
-0.002266174344100135,b,b
-0.002264160176633437,b,a
0.0037804462663666386,b,c
0.0027613022399667134,a,b
0.002541677270733402,c,c
0.0028543398679999653,a,b
0.0029531355625999852,b,b
